local_15min,ac_sum,no_ac_grid,air1,air2,air3,airwindowunit1,grid
2018-06-01 00:00:00-05:00,1.1525,0.5734999999999999,0.0,1.1525,,,1.726
2018-06-01 00:30:00-05:00,0.0035,0.402,0.0,0.0035,,,0.40549999999999997
2018-06-01 01:00:00-05:00,0.41550000000000004,0.5235,0.413,0.0025,,,0.939
2018-06-01 01:30:00-05:00,0.29150000000000004,0.48949999999999994,0.28850000000000003,0.003,,,0.7809999999999999
2018-06-01 02:00:00-05:00,0.874,0.4655,0.0,0.874,,,1.3395000000000001
2018-06-01 02:30:00-05:00,0.19,0.48,0.0,0.19,,,0.67
2018-06-01 03:00:00-05:00,0.003,0.4115,0.0,0.003,,,0.4145
2018-06-01 03:30:00-05:00,0.0025,0.375,0.0,0.0025,,,0.3775
2018-06-01 04:00:00-05:00,0.002,0.4555,0.0,0.002,,,0.4575
2018-06-01 04:30:00-05:00,0.003,0.344,0.0,0.003,,,0.347
2018-06-01 05:00:00-05:00,1.0585,0.53,0.0,1.0585,,,1.5885
2018-06-01 05:30:00-05:00,0.002,0.38449999999999995,0.0,0.002,,,0.3865
2018-06-01 06:00:00-05:00,0.003,0.3835,0.0,0.003,,,0.3865
2018-06-01 06:30:00-05:00,0.0035,0.5615,0.0,0.0035,,,0.565
2018-06-01 07:00:00-05:00,0.002,0.41000000000000003,0.0,0.002,,,0.41200000000000003
2018-06-01 07:30:00-05:00,0.004,1.1880000000000002,0.0,0.004,,,1.192
2018-06-01 08:00:00-05:00,0.0015,0.6975000000000001,0.0,0.0015,,,0.699
2018-06-01 08:30:00-05:00,0.7130000000000001,0.434,0.7105,0.0025,,,1.1469999999999998
2018-06-01 09:00:00-05:00,0.0015,0.2875,0.0,0.0015,,,0.28900000000000003
2018-06-01 09:30:00-05:00,0.001,0.38349999999999995,0.0,0.001,,,0.3845
2018-06-01 10:00:00-05:00,0.0015,0.2695,0.0,0.0015,,,0.271
2018-06-01 10:30:00-05:00,2.473,0.6825000000000001,0.8545,1.6185,,,3.1555
2018-06-01 11:00:00-05:00,0.041499999999999995,0.376,0.04,0.0015,,,0.4175
2018-06-01 11:30:00-05:00,1.4335,0.49450000000000016,0.7845,0.6489999999999999,,,1.9280000000000002
2018-06-01 12:00:00-05:00,1.297,0.6335000000000002,0.7224999999999999,0.5744999999999999,,,1.9305
2018-06-01 12:30:00-05:00,1.949,0.7490000000000001,0.7889999999999999,1.1600000000000001,,,2.6980000000000004
2018-06-01 13:00:00-05:00,2.168999999999999,0.5680000000000005,0.7939999999999999,1.375,,,2.737
2018-06-01 13:30:00-05:00,0.862,0.5410000000000001,0.8584999999999999,0.0035,,,1.403
2018-06-01 14:00:00-05:00,0.9770000000000001,0.4819999999999999,0.10800000000000003,0.869,,,1.459
2018-06-01 14:30:00-05:00,2.923,0.5885000000000002,1.0075,1.9155,,,3.5115000000000003
2018-06-01 15:00:00-05:00,2.816,0.6644999999999999,1.1665,1.6495,,,3.4805
2018-06-01 15:30:00-05:00,0.0015,0.3325000000000001,0.0,0.0015,,,0.3340000000000001
2018-06-01 16:00:00-05:00,0.002,0.3115,0.0,0.002,,,0.3135
2018-06-01 16:30:00-05:00,0.001,0.39349999999999996,0.0,0.001,,,0.39449999999999996
2018-06-01 17:00:00-05:00,0.0015,0.309,0.0,0.0015,,,0.3105
2018-06-01 17:30:00-05:00,0.002,0.36,0.0,0.002,,,0.362
2018-06-01 18:00:00-05:00,1.8255,0.5690000000000001,0.7625,1.063,,,2.3945
2018-06-01 18:30:00-05:00,4.560499999999999,0.8265000000000007,1.906,2.6545,,,5.3870000000000005
2018-06-01 19:00:00-05:00,3.7365000000000004,0.7524999999999995,1.1335,2.603,,,4.488999999999999
2018-06-01 19:30:00-05:00,2.2635,0.8885,1.0110000000000001,1.2525,,,3.152
2018-06-01 20:00:00-05:00,2.5004999999999997,0.752,1.0414999999999999,1.4589999999999999,,,3.2525
2018-06-01 20:30:00-05:00,2.149,0.9415,0.927,1.222,,,3.0905
2018-06-01 21:00:00-05:00,2.208,0.8994999999999999,0.697,1.511,,,3.1075
2018-06-01 21:30:00-05:00,0.762,0.8385,0.7595000000000001,0.0025,,,1.6005
2018-06-01 22:00:00-05:00,1.0675000000000001,0.688,0.263,0.8045,,,1.7555
2018-06-01 22:30:00-05:00,1.2329999999999999,0.7470000000000002,0.5385,0.6944999999999999,,,1.9800000000000002
2018-06-01 23:00:00-05:00,0.6629999999999999,0.7245,0.6575,0.0055,,,1.3875
2018-06-01 23:30:00-05:00,0.5349999999999999,0.4495,0.158,0.37699999999999995,,,0.9845
2018-06-02 00:00:00-05:00,1.3045,0.5215000000000001,0.0,1.3045,,,1.826
2018-06-02 00:30:00-05:00,0.0025,0.4285,0.0,0.0025,,,0.431
2018-06-02 01:00:00-05:00,0.7605,0.4905,0.7565,0.004,,,1.251
2018-06-02 01:30:00-05:00,0.001,0.42200000000000004,0.0,0.001,,,0.42300000000000004
2018-06-02 02:00:00-05:00,0.8500000000000001,0.45199999999999985,0.0,0.8500000000000001,,,1.302
2018-06-02 02:30:00-05:00,0.617,0.40149999999999997,0.0,0.617,,,1.0185
2018-06-02 03:00:00-05:00,0.001,0.42500000000000004,0.0,0.001,,,0.426
2018-06-02 03:30:00-05:00,0.003,0.36,0.0,0.003,,,0.363
2018-06-02 04:00:00-05:00,0.0015,0.3695,0.0,0.0015,,,0.371
2018-06-02 04:30:00-05:00,0.0015,0.399,0.0,0.0015,,,0.40049999999999997
2018-06-02 05:00:00-05:00,0.003,0.31,0.0,0.003,,,0.313
2018-06-02 05:30:00-05:00,0.716,0.4879999999999999,0.0,0.716,,,1.204
2018-06-02 06:00:00-05:00,0.3365,0.37049999999999994,0.0,0.3365,,,0.707
2018-06-02 06:30:00-05:00,0.0025,0.36350000000000005,0.0,0.0025,,,0.366
2018-06-02 07:00:00-05:00,0.004,1.707,0.0,0.004,,,1.711
2018-06-02 07:30:00-05:00,0.7615,0.49600000000000005,0.759,0.0025,,,1.2575
2018-06-02 08:00:00-05:00,0.002,0.27,0.0,0.002,,,0.272
2018-06-02 08:30:00-05:00,0.6269999999999999,0.43800000000000017,0.0,0.6269999999999999,,,1.0650000000000002
2018-06-02 09:00:00-05:00,0.873,0.4534999999999999,0.0,0.873,,,1.3265
2018-06-02 09:30:00-05:00,0.7005000000000001,1.328,0.699,0.0014999999999999996,,,2.0285
2018-06-02 10:00:00-05:00,2.3255,1.5125,0.6545000000000001,1.6709999999999998,,,3.838
2018-06-02 10:30:00-05:00,0.598,0.6680000000000001,0.593,0.005,,,1.266
2018-06-02 11:00:00-05:00,1.6644999999999999,0.4695,0.4105,1.254,,,2.134
2018-06-02 11:30:00-05:00,0.7899999999999997,0.4900000000000001,0.7879999999999999,0.002,,,1.28
2018-06-02 12:00:00-05:00,1.9184999999999999,0.5970000000000001,0.8075,1.111,,,2.5155000000000003
2018-06-02 12:30:00-05:00,2.022,0.5555,1.0619999999999998,0.96,,,2.5774999999999997
2018-06-02 13:00:00-05:00,1.3059999999999998,0.48000000000000004,0.3795,0.9265,,,1.786
2018-06-02 13:30:00-05:00,0.0015,0.3525,0.0,0.0015,,,0.354
2018-06-02 14:00:00-05:00,0.002,0.3115,0.0,0.002,,,0.3135
2018-06-02 14:30:00-05:00,0.001,0.37250000000000005,0.0,0.001,,,0.3735
2018-06-02 15:00:00-05:00,0.0015,0.35650000000000004,0.0,0.0015,,,0.358
2018-06-02 15:30:00-05:00,0.002,0.3165,0.0,0.002,,,0.3185
2018-06-02 16:00:00-05:00,4.189,0.8779999999999999,1.742,2.447,,,5.066999999999998
2018-06-02 16:30:00-05:00,4.723,0.9020000000000001,1.9565000000000001,2.7664999999999997,,,5.625
2018-06-02 17:00:00-05:00,4.725,0.8969999999999998,1.9555,2.7695,,,5.622
2018-06-02 17:30:00-05:00,3.5135,0.9584999999999997,1.068,2.4455,,,4.4719999999999995
2018-06-02 18:00:00-05:00,2.822,0.8790000000000002,1.215,1.6070000000000002,,,3.7010000000000014
2018-06-02 18:30:00-05:00,2.5655,1.1630000000000003,1.0885,1.477,,,3.728500000000001
2018-06-02 19:00:00-05:00,2.665,0.9480000000000002,0.8925,1.7725,,,3.613
2018-06-02 19:30:00-05:00,2.1734999999999998,0.8385000000000002,0.8715,1.302,,,3.0120000000000005
2018-06-02 20:00:00-05:00,2.529,0.8945,0.8745,1.6545,,,3.4234999999999998
2018-06-02 20:30:00-05:00,1.542,0.8519999999999999,0.7985,0.7434999999999999,,,2.394
2018-06-02 21:00:00-05:00,1.8995,0.8214999999999999,0.806,1.0935000000000001,,,2.721
2018-06-02 21:30:00-05:00,0.4245,0.6930000000000001,0.0,0.4245,,,1.1175000000000002
2018-06-02 22:00:00-05:00,1.9215,1.3735000000000002,0.7435,1.178,,,3.295
2018-06-02 22:30:00-05:00,1.637,1.2504999999999997,0.736,0.9009999999999999,,,2.8874999999999997
2018-06-02 23:00:00-05:00,0.7804999999999999,0.9420000000000001,0.0,0.7804999999999999,,,1.7225
2018-06-02 23:30:00-05:00,0.23550000000000001,0.9284999999999999,0.078,0.1575,,,1.1640000000000001
2018-06-03 00:00:00-05:00,1.8800000000000001,1.0385,0.593,1.2870000000000001,,,2.9185
2018-06-03 00:30:00-05:00,0.008,0.7789999999999999,0.0,0.008,,,0.7869999999999999
2018-06-03 01:00:00-05:00,1.8975,0.6735,0.7224999999999999,1.175,,,2.5709999999999997
2018-06-03 01:30:00-05:00,0.0025,0.40549999999999997,0.0,0.0025,,,0.40800000000000003
2018-06-03 02:00:00-05:00,0.003,0.34450000000000003,0.0,0.003,,,0.34750000000000003
2018-06-03 02:30:00-05:00,0.5105,0.575,-0.0005,0.5109999999999999,,,1.0855000000000001
2018-06-03 03:00:00-05:00,0.6379999999999999,0.47600000000000015,0.0,0.6379999999999999,,,1.1139999999999999
2018-06-03 03:30:00-05:00,0.003,0.3575,0.0,0.003,,,0.3605
2018-06-03 04:00:00-05:00,0.0015,0.4475,0.0,0.0015,,,0.449
2018-06-03 04:30:00-05:00,0.0025,0.38649999999999995,0.0,0.0025,,,0.389
2018-06-03 05:00:00-05:00,1.0594999999999999,0.45399999999999985,0.0,1.0594999999999999,,,1.5134999999999998
2018-06-03 05:30:00-05:00,0.0015,0.44299999999999995,0.0,0.0015,,,0.4445
2018-06-03 06:00:00-05:00,0.32649999999999996,0.742,0.32,0.0065,,,1.0685
2018-06-03 06:30:00-05:00,0.5045,1.9034999999999997,0.477,0.0275,,,2.408
2018-06-03 07:00:00-05:00,1.394,0.7885,0.0,1.394,,,2.1825
2018-06-03 07:30:00-05:00,0.6509999999999999,1.0959999999999999,0.6415,0.0095,,,1.747
2018-06-03 08:00:00-05:00,1.735,0.9374999999999998,0.21600000000000005,1.5190000000000001,,,2.6725
